DC01,2020/01/01,500
DC02,2020/01/01,600
DC03,2020/01/01,700
DC04,2020/01/01,800
DC05,2020/01/01,900
DC06,2020/01/01,1000
DC07,2020/01/01,1100
DC08,2020/01/01,1200
DC09,2020/01/01,1300
DC10,2020/01/01,1400
DC01,2021/01/02,510
DC02,2021/01/02,620
DC03,2021/01/02,730
DC04,2021/01/02,840
DC05,2021/01/02,950
DC06,2021/01/02,1060
DC07,2021/01/02,1170
DC08,2021/01/02,1280
DC09,2021/01/02,1390
DC10,2021/01/02,1500
DC01,2021/01/03,520
DC02,2021/01/03,640
DC03,2021/01/03,760
DC04,2021/01/03,880
DC05,2021/01/03,1000
DC06,2021/01/03,1120
DC07,2021/01/03,1240
DC08,2021/01/03,1360
DC09,2021/01/03,1480
DC10,2021/01/03,1600
