NEO1,OB122,2023-05-01	06:40:51,23.43,-2.344,2.3
NEO1,OB12,2023-05-02	06:40:51,23.43,-2.344,2
NEO1,OB22,2023-05-03	06:40:51,23.43,-2.344,2
NEO1,OB122,2023-05-04	06:40:51,23.43,-2.344,2
NEO1,OB12,2023-05-05	06:40:51,23.43,-2.344,1.9
NEO1,OB122,2023-05-06	06:40:51,23.43,-2.344,1.8
NEO1,OB122,2023-05-07	06:40:51,23.43,-2.344,1.7
NEO1,OB122,2023-05-08	06:40:51,23.43,-2.344,1.6
NEO1,OB122,2023-05-09	06:40:51,23.43,-2.344,1.5
NEO1,OB122,2023-05-10	06:40:51,23.43,-2.344,1.2
NEO2,OB122,2023-04-11	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-01	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-02	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-03	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-04	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-05	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-06	06:40:51,23.43,-2.344,2.1
NEO2,OB122,2023-05-07	06:40:51,23.43,-2.344,2
NEO2,OB122,2023-05-08	06:40:51,23.43,-2.344,2
NEO2,OB12,2023-05-09	06:40:51,23.43,-2.344,1.9
NEO2,OB122,2023-05-10	06:40:51,23.43,-2.344,1.7
NEO2,OB122,2023-05-11	06:40:51,23.43,-2.344,1.6
NEO2,OB122,2023-05-12	06:40:51,23.43,-2.344,1.5
NEO2,OB12,2023-05-13	06:40:51,23.43,-2.344,1.4
NEO2,OB22,2021-05-14	06:40:51,23.43,-2.344,1.2
NEO3,OB22,2023-05-14	06:40:51,23.43,-2.344,1.9
NEO3,OB22,2023-05-15	06:40:51,23.43,-2.344,1.8
NEO3,OB221,2023-05-16	06:40:51,23.43,-2.344,1.7
NEO4,OB221,2013-05-16	06:40:51,23.43,-2.344,1.6
NEO5,OB221,2013-05-16	06:40:51,23.43,-2.344,1.3
NEO5,OB221,2013-05-16	06:40:51,23.43,-2.344,1.2
NEO6,OB221,2023-05-16	06:40:51,23.43,-2.344,1.4
NEO6,OB221,2023-06-16	06:40:51,23.43,-2.344,1.2
NEO6,OB122,2023-07-16	06:40:51,23.33,6.344,0.8
